TipusCasData,ComarcaCodi,ComarcaDescripcio,MunicipiCodi,MunicipiDescripcio,SexeCodi,SexeDescripcio,TipusCasDescripcio,NumCasos
03/06/2020,41,Vallès Oriental,08046,Cardedeu,0,Home,Sospitós,2
03/06/2020,14,Berguedà ,08022,Berga,0,Home,Sospitós,1
03/06/2020,07,Bages,08141,Navàs,0,Home,Sospitós,2
03/06/2020,11,Baix Llobregat,08056,Castelldefels,0,Home,Sospitós,5
03/06/2020,24,Osona,08247,Santa Eulàlia de Riuprimer,0,Home,Sospitós,1
03/06/2020,,,,(Altres municipis),1,Dona,Sospitós,1
03/06/2020,21,Maresme,08075,Dosrius,0,Home,Sospitós,1
03/06/2020,07,Bages,08140,Navarcles,0,Home,Sospitós,3
03/06/2020,07,Bages,08191,Sallent,1,Dona,Sospitós,2
03/06/2020,40,Vallès Occidental,08184,Rubí,0,Home,Sospitós,4
03/06/2020,10,Baix Empordà ,17013,Begur,0,Home,Sospitós,2
03/06/2020,41,Vallès Oriental,08135,Montmeló,0,Home,Sospitós,1
03/06/2020,20,Gironès,17155,Salt,0,Home,Sospitós,2
03/06/2020,03,Alt Penedès,08145,Olèrdola,0,Home,Sospitós,1
03/06/2020,33,Segrià ,25078,Corbins,1,Dona,Sospitós,1
03/06/2020,11,Baix Llobregat,08089,Gavà,0,Home,Sospitós,5
03/06/2020,21,Maresme,08110,Malgrat de Mar,1,Dona,Sospitós,3
03/06/2020,24,Osona,08112,Manlleu,0,Home,Sospitós,2
03/06/2020,41,Vallès Oriental,08124,Mollet del Vallès,0,Home,Sospitós,2
03/06/2020,27,Pla d'Urgell,25137,Mollerussa,0,Home,Sospitós,1
03/06/2020,34,Selva,17202,Tossa de Mar,0,Home,Sospitós,1
03/06/2020,11,Baix Llobregat,08169,El Prat de Llobregat,1,Dona,Sospitós,3
03/06/2020,24,Osona,08171,Prats de Lluçanès,0,Home,Sospitós,1
03/06/2020,,,,(Altres municipis),1,Dona,Positiu PCR,1
03/06/2020,23,Noguera,25015,Algerri,1,Dona,Sospitós,1
03/06/2020,32,Segarra,25191,Sanaüja,1,Dona,Sospitós,1
03/06/2020,06,Anoia,08119,Masquefa,1,Dona,Sospitós,1
03/06/2020,11,Baix Llobregat,08076,Esparreguera,1,Dona,Sospitós,5
03/06/2020,21,Maresme,08163,Pineda de Mar,0,Home,Sospitós,2
03/06/2020,09,Baix Ebre,43025,Benifallet,0,Home,Sospitós,1
03/06/2020,38,Urgell,25217,Tàrrega,0,Home,Sospitós,3
03/06/2020,24,Osona,08283,Tona,0,Home,Positiu PCR,1
03/06/2020,40,Vallès Occidental,08187,Sabadell,0,Home,Sospitós,7
03/06/2020,41,Vallès Oriental,08096,Granollers,1,Dona,Sospitós,7
03/06/2020,20,Gironès,17142,Quart,0,Home,Sospitós,1
03/06/2020,41,Vallès Oriental,08042,Cànoves i Samalús,0,Home,Sospitós,1
03/06/2020,36,Tarragonès,43148,Tarragona,1,Dona,Epidemiològic,1
03/06/2020,22,Montsià ,43014,Amposta,1,Dona,Sospitós,2
03/06/2020,33,Segrià ,25120,Lleida,1,Dona,Positiu PCR,4
