Data defunció,Codi Comarca,Comarca,Codi Sexe,Sexe,Nombre defuncions
21/04/2020,41,Vallès Oriental,0,Home,4
21/04/2020,24,Osona,0,Home,1
21/04/2020,32,Segarra,1,Dona,1
21/04/2020,11,Baix Llobregat,1,Dona,17
21/04/2020,38,Urgell,1,Dona,2
21/04/2020,8,Baix Camp,1,Dona,1
21/04/2020,41,Vallès Oriental,1,Dona,3
21/04/2020,13,Barcelonès,1,Dona,42
21/04/2020,7,Bages,0,Home,2
21/04/2020,7,Bages,1,Dona,4
21/04/2020,10,Baix Empordà,1,Dona,3
21/04/2020,3,Alt Penedès,1,Dona,4
21/04/2020,33,Segrià,0,Home,1
21/04/2020,17,Garraf,1,Dona,3
21/04/2020,40,Vallès Occidental,1,Dona,15
21/04/2020,21,Maresme,0,Home,3
21/04/2020,6,Anoia,1,Dona,5
21/04/2020,6,Anoia,0,Home,1
21/04/2020,36,Tarragonès,0,Home,4
21/04/2020,33,Segrià,1,Dona,2
21/04/2020,12,Baix Penedès,0,Home,2
21/04/2020,14,Berguedà,1,Dona,3
21/04/2020,12,Baix Penedès,1,Dona,1
21/04/2020,17,Garraf,0,Home,2
21/04/2020,28,Pla de l'Estany,1,Dona,2
21/04/2020,20,Gironès,0,Home,1
20/04/2020,33,Segrià,1,Dona,6
20/04/2020,18,Garrigues,1,Dona,1
20/04/2020,24,Osona,0,Home,1
20/04/2020,34,Selva,0,Home,1
20/04/2020,7,Bages,0,Home,2
20/04/2020,19,Garrotxa,1,Dona,2
20/04/2020,10,Baix Empordà,1,Dona,1
20/04/2020,41,Vallès Oriental,0,Home,4
20/04/2020,6,Anoia,0,Home,1
20/04/2020,21,Maresme,0,Home,4
20/04/2020,17,Garraf,0,Home,3
20/04/2020,20,Gironès,1,Dona,1
20/04/2020,21,Maresme,1,Dona,5
20/04/2020,13,Barcelonès,1,Dona,44
20/04/2020,17,Garraf,1,Dona,1
20/04/2020,12,Baix Penedès,0,Home,1
20/04/2020,40,Vallès Occidental,0,Home,8
20/04/2020,40,Vallès Occidental,1,Dona,8
20/04/2020,16,Conca de Barberà,1,Dona,1
20/04/2020,11,Baix Llobregat,0,Home,10
20/04/2020,3,Alt Penedès,1,Dona,1
20/04/2020,41,Vallès Oriental,1,Dona,6
20/04/2020,22,Montsià,1,Dona,2
20/04/2020,24,Osona,1,Dona,2
20/04/2020,19,Garrotxa,0,Home,1
20/04/2020,36,Tarragonès,1,Dona,2
20/04/2020,1,Alt Camp,1,Dona,1
20/04/2020,13,Barcelonès,0,Home,26
20/04/2020,33,Segrià,0,Home,1
20/04/2020,3,Alt Penedès,0,Home,1
20/04/2020,31,Ripollès,0,Home,1
20/04/2020,22,Montsià,0,Home,1
20/04/2020,20,Gironès,0,Home,1
20/04/2020,6,Anoia,1,Dona,4
20/04/2020,11,Baix Llobregat,1,Dona,9
20/04/2020,36,Tarragonès,0,Home,1
20/04/2020,23,Noguera,0,Home,1
20/04/2020,7,Bages,1,Dona,4
20/04/2020,34,Selva,1,Dona,1
20/04/2020,8,Baix Camp,0,Home,1
19/04/2020,17,Garraf,1,Dona,1
19/04/2020,36,Tarragonès,0,Home,3
19/04/2020,8,Baix Camp,1,Dona,1
19/04/2020,21,Maresme,0,Home,4
19/04/2020,21,Maresme,1,Dona,8
19/04/2020,3,Alt Penedès,1,Dona,2
19/04/2020,40,Vallès Occidental,0,Home,7
19/04/2020,7,Bages,1,Dona,9
19/04/2020,11,Baix Llobregat,0,Home,15
19/04/2020,33,Segrià,0,Home,1
19/04/2020,41,Vallès Oriental,1,Dona,4
19/04/2020,32,Segarra,1,Dona,1
19/04/2020,17,Garraf,0,Home,1
19/04/2020,33,Segrià,1,Dona,3
19/04/2020,20,Gironès,1,Dona,1
19/04/2020,12,Baix Penedès,1,Dona,1
19/04/2020,20,Gironès,0,Home,1
19/04/2020,6,Anoia,0,Home,2
19/04/2020,24,Osona,1,Dona,5
19/04/2020,40,Vallès Occidental,1,Dona,12
19/04/2020,12,Baix Penedès,0,Home,2
19/04/2020,13,Barcelonès,1,Dona,48
19/04/2020,41,Vallès Oriental,0,Home,3
19/04/2020,14,Berguedà,0,Home,1
19/04/2020,9,Baix Ebre,1,Dona,1
19/04/2020,3,Alt Penedès,0,Home,2
19/04/2020,6,Anoia,1,Dona,1
19/04/2020,19,Garrotxa,1,Dona,1
19/04/2020,7,Bages,0,Home,4
19/04/2020,11,Baix Llobregat,1,Dona,12
19/04/2020,13,Barcelonès,0,Home,32
19/04/2020,8,Baix Camp,0,Home,1
18/04/2020,7,Bages,1,Dona,9
18/04/2020,39,Val d'Aran,1,Dona,1
18/04/2020,34,Selva,0,Home,3
18/04/2020,17,Garraf,1,Dona,3
18/04/2020,17,Garraf,0,Home,1
18/04/2020,10,Baix Empordà,1,Dona,2
18/04/2020,41,Vallès Oriental,0,Home,4
18/04/2020,3,Alt Penedès,1,Dona,1
18/04/2020,40,Vallès Occidental,1,Dona,12
18/04/2020,6,Anoia,0,Home,2
18/04/2020,2,Alt Empordà,0,Home,1
18/04/2020,8,Baix Camp,0,Home,1
18/04/2020,11,Baix Llobregat,1,Dona,14
18/04/2020,21,Maresme,1,Dona,1
18/04/2020,24,Osona,0,Home,5
18/04/2020,31,Ripollès,0,Home,1
18/04/2020,24,Osona,1,Dona,3
18/04/2020,6,Anoia,1,Dona,5
18/04/2020,36,Tarragonès,1,Dona,3
18/04/2020,11,Baix Llobregat,0,Home,9
18/04/2020,21,Maresme,0,Home,6
18/04/2020,13,Barcelonès,1,Dona,48
18/04/2020,10,Baix Empordà,0,Home,1
18/04/2020,41,Vallès Oriental,1,Dona,3
18/04/2020,19,Garrotxa,1,Dona,4
18/04/2020,20,Gironès,0,Home,2
18/04/2020,40,Vallès Occidental,0,Home,8
18/04/2020,33,Segrià,0,Home,1
18/04/2020,7,Bages,0,Home,4
18/04/2020,12,Baix Penedès,0,Home,1
18/04/2020,20,Gironès,1,Dona,3
18/04/2020,13,Barcelonès,0,Home,25
18/04/2020,34,Selva,1,Dona,3
18/04/2020,3,Alt Penedès,0,Home,3
18/04/2020,14,Berguedà,1,Dona,1
18/04/2020,33,Segrià,1,Dona,3
17/04/2020,13,Barcelonès,0,Home,42
17/04/2020,10,Baix Empordà,1,Dona,3
17/04/2020,2,Alt Empordà,1,Dona,2
17/04/2020,40,Vallès Occidental,1,Dona,10
17/04/2020,25,Pallars Jussà,1,Dona,1
17/04/2020,40,Vallès Occidental,0,Home,14
17/04/2020,24,Osona,0,Home,2
17/04/2020,14,Berguedà,1,Dona,1
17/04/2020,3,Alt Penedès,0,Home,4
17/04/2020,11,Baix Llobregat,0,Home,21
17/04/2020,34,Selva,0,Home,2
17/04/2020,33,Segrià,0,Home,1
17/04/2020,41,Vallès Oriental,0,Home,2
17/04/2020,3,Alt Penedès,1,Dona,3
17/04/2020,7,Bages,0,Home,8
17/04/2020,34,Selva,1,Dona,1
17/04/2020,6,Anoia,0,Home,2
17/04/2020,13,Barcelonès,1,Dona,50
17/04/2020,7,Bages,1,Dona,4
17/04/2020,20,Gironès,0,Home,4
17/04/2020,11,Baix Llobregat,1,Dona,12
17/04/2020,41,Vallès Oriental,1,Dona,9
17/04/2020,33,Segrià,1,Dona,2
17/04/2020,36,Tarragonès,1,Dona,2
17/04/2020,6,Anoia,1,Dona,2
17/04/2020,8,Baix Camp,0,Home,2
17/04/2020,19,Garrotxa,0,Home,2
17/04/2020,9,Baix Ebre,1,Dona,1
17/04/2020,18,Garrigues,1,Dona,1
17/04/2020,24,Osona,1,Dona,5
17/04/2020,19,Garrotxa,1,Dona,2
17/04/2020,20,Gironès,1,Dona,1
17/04/2020,21,Maresme,0,Home,6
17/04/2020,21,Maresme,1,Dona,5
17/04/2020,2,Alt Empordà,0,Home,1
17/04/2020,17,Garraf,1,Dona,1
17/04/2020,36,Tarragonès,0,Home,1
17/04/2020,17,Garraf,0,Home,2
16/04/2020,3,Alt Penedès,1,Dona,1
16/04/2020,28,Pla de l'Estany,0,Home,1
16/04/2020,41,Vallès Oriental,1,Dona,6
16/04/2020,6,Anoia,1,Dona,3
16/04/2020,24,Osona,1,Dona,3
16/04/2020,36,Tarragonès,0,Home,11
16/04/2020,24,Osona,0,Home,2
16/04/2020,20,Gironès,0,Home,2
16/04/2020,8,Baix Camp,1,Dona,1
16/04/2020,11,Baix Llobregat,0,Home,13
16/04/2020,20,Gironès,1,Dona,2
16/04/2020,41,Vallès Oriental,0,Home,2
16/04/2020,10,Baix Empordà,0,Home,2
16/04/2020,17,Garraf,1,Dona,1
16/04/2020,13,Barcelonès,1,Dona,55
16/04/2020,34,Selva,1,Dona,2
16/04/2020,8,Baix Camp,0,Home,1
16/04/2020,40,Vallès Occidental,0,Home,8
16/04/2020,40,Vallès Occidental,1,Dona,29
16/04/2020,23,Noguera,0,Home,1
16/04/2020,36,Tarragonès,1,Dona,5
16/04/2020,2,Alt Empordà,0,Home,1
16/04/2020,21,Maresme,0,Home,5
16/04/2020,21,Maresme,1,Dona,4
16/04/2020,11,Baix Llobregat,1,Dona,12
16/04/2020,13,Barcelonès,0,Home,44
16/04/2020,33,Segrià,1,Dona,2
