"Fecha","Isla","Provincia","Hospital","Hospitalizados","UCI - Críticas con respirador","UCI - Críticas sin respirador","Total","Fuente"
"20/05/2020","Tenerife","Santa Cruz de Tenerife","Complejo Hospitalario Universitario Nuestra Señora de Candelaria","26","8","0","34","https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/6c18fb18eae64df2a5ecca8c4bd846c3"
"21/05/2020","Tenerife","Santa Cruz de Tenerife","Complejo Hospitalario Universitario Nuestra Señora de Candelaria","23","7","0","30","https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/6c18fb18eae64df2a5ecca8c4bd846c3"
"22/05/2020","Tenerife","Santa Cruz de Tenerife","Complejo Hospitalario Universitario Nuestra Señora de Candelaria","26","6","0","32","https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/6c18fb18eae64df2a5ecca8c4bd846c3"
"23/05/2020","Tenerife","Santa Cruz de Tenerife","Complejo Hospitalario Universitario Nuestra Señora de Candelaria","20","7","0","27","https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/6c18fb18eae64df2a5ecca8c4bd846c3"
"24/05/2020","Tenerife","Santa Cruz de Tenerife","Complejo Hospitalario Universitario Nuestra Señora de Candelaria","26","7","0","33","https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/6c18fb18eae64df2a5ecca8c4bd846c3"
"25/05/2020","Tenerife","Santa Cruz de Tenerife","Complejo Hospitalario Universitario Nuestra Señora de Candelaria","22","5","0","27","https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/6c18fb18eae64df2a5ecca8c4bd846c3"
"26/05/2020","Tenerife","Santa Cruz de Tenerife","Complejo Hospitalario Universitario Nuestra Señora de Candelaria","27","5","0","32","https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/6c18fb18eae64df2a5ecca8c4bd846c3"
"27/05/2020","Tenerife","Santa Cruz de Tenerife","Complejo Hospitalario Universitario Nuestra Señora de Candelaria","27","4","0","31","https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/6c18fb18eae64df2a5ecca8c4bd846c3"
"28/05/2020","Tenerife","Santa Cruz de Tenerife","Complejo Hospitalario Universitario Nuestra Señora de Candelaria","26","4","0","30","https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/6c18fb18eae64df2a5ecca8c4bd846c3"
"29/05/2020","Tenerife","Santa Cruz de Tenerife","Complejo Hospitalario Universitario Nuestra Señora de Candelaria","19","4","0","23","https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/6c18fb18eae64df2a5ecca8c4bd846c3"
"30/05/2020","Tenerife","Santa Cruz de Tenerife","Complejo Hospitalario Universitario Nuestra Señora de Candelaria","21","3","0","24","https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/6c18fb18eae64df2a5ecca8c4bd846c3"
"31/05/2020","Tenerife","Santa Cruz de Tenerife","Complejo Hospitalario Universitario Nuestra Señora de Candelaria","20","3","0","23","https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/6c18fb18eae64df2a5ecca8c4bd846c3"
"01/06/2020","Tenerife","Santa Cruz de Tenerife","Complejo Hospitalario Universitario Nuestra Señora de Candelaria","22","3","0","25","https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/6c18fb18eae64df2a5ecca8c4bd846c3"
"02/06/2020","Tenerife","Santa Cruz de Tenerife","Complejo Hospitalario Universitario Nuestra Señora de Candelaria","20","3","0","23","https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/6c18fb18eae64df2a5ecca8c4bd846c3"
"03/06/2020","Tenerife","Santa Cruz de Tenerife","Complejo Hospitalario Universitario Nuestra Señora de Candelaria","19","3","0","22","https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/6c18fb18eae64df2a5ecca8c4bd846c3"
"04/06/2020","Tenerife","Santa Cruz de Tenerife","Complejo Hospitalario Universitario Nuestra Señora de Candelaria","20","3","0","23","https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/6c18fb18eae64df2a5ecca8c4bd846c3"
