"region","fecha","cases_registered","PCR","TestAc","hospitalized","intensive_care","deceassed","date","recovered"
"Navarra","29/2/2020",1,1,NA,NA,NA,NA,2020-02-29,NA
"País Vasco","29/2/2020",3,3,NA,NA,NA,NA,2020-02-29,NA
"La Rioja","29/2/2020",0,0,NA,NA,NA,NA,2020-02-29,NA
"Andalucía","1/3/2020",12,12,NA,NA,NA,NA,2020-03-01,NA
"Aragón","1/3/2020",0,0,NA,NA,NA,NA,2020-03-01,NA
"Asturias","1/3/2020",1,1,NA,0,1,0,2020-03-01,NA
"Baleares","1/3/2020",2,2,NA,NA,NA,NA,2020-03-01,NA
"Canarias","1/3/2020",7,7,NA,NA,NA,NA,2020-03-01,NA
"Cantabria","1/3/2020",10,10,NA,NA,NA,NA,2020-03-01,NA
"Castilla-La Mancha","1/3/2020",3,3,NA,NA,NA,NA,2020-03-01,NA
"Castilla y León","1/3/2020",3,3,NA,NA,NA,NA,2020-03-01,NA
"Cataluña","1/3/2020",15,15,NA,NA,NA,NA,2020-03-01,NA
"Ceuta","1/3/2020",0,0,NA,NA,NA,NA,2020-03-01,NA
"C. Valenciana","1/3/2020",15,15,NA,88,3,NA,2020-03-01,NA
"Extremadura","1/3/2020",6,6,NA,NA,NA,NA,2020-03-01,NA
"Galicia","1/3/2020",0,0,NA,NA,NA,NA,2020-03-01,NA
"Madrid","1/3/2020",53,53,NA,NA,NA,NA,2020-03-01,NA
"Melilla","1/3/2020",0,0,NA,NA,NA,NA,2020-03-01,NA
"Murcia","1/3/2020",0,0,NA,NA,NA,NA,2020-03-01,NA
"Navarra","1/3/2020",1,1,NA,NA,NA,NA,2020-03-01,NA
"País Vasco","1/3/2020",9,9,NA,NA,NA,NA,2020-03-01,NA
"La Rioja","1/3/2020",1,1,NA,NA,NA,NA,2020-03-01,NA
"Andalucía","2/3/2020",12,12,NA,NA,NA,NA,2020-03-02,NA
"Aragón","2/3/2020",0,0,NA,NA,NA,NA,2020-03-02,NA
"Asturias","2/3/2020",1,1,NA,1,1,0,2020-03-02,NA
"Baleares","2/3/2020",2,2,NA,NA,NA,NA,2020-03-02,NA
"Canarias","2/3/2020",7,7,NA,NA,NA,NA,2020-03-02,NA
"Cantabria","2/3/2020",10,10,NA,NA,NA,NA,2020-03-02,NA
"Castilla-La Mancha","2/3/2020",7,7,NA,NA,NA,NA,2020-03-02,NA
"Castilla y León","2/3/2020",8,8,NA,NA,NA,NA,2020-03-02,NA
"Cataluña","2/3/2020",15,15,NA,NA,NA,NA,2020-03-02,NA
"Ceuta","2/3/2020",0,0,NA,NA,NA,NA,2020-03-02,NA
"C. Valenciana","2/3/2020",15,15,NA,93,3,NA,2020-03-02,NA
"Extremadura","2/3/2020",6,6,NA,NA,NA,NA,2020-03-02,NA
"Galicia","2/3/2020",0,0,NA,NA,NA,NA,2020-03-02,NA
"Madrid","2/3/2020",96,96,NA,NA,NA,NA,2020-03-02,NA
"Melilla","2/3/2020",0,0,NA,NA,NA,NA,2020-03-02,NA
"Murcia","2/3/2020",0,0,NA,NA,NA,NA,2020-03-02,NA
"Navarra","2/3/2020",1,1,NA,NA,NA,NA,2020-03-02,NA
"País Vasco","2/3/2020",13,13,NA,NA,NA,NA,2020-03-02,NA
"La Rioja","2/3/2020",2,2,NA,NA,NA,NA,2020-03-02,NA
"Andalucía","3/3/2020",12,12,NA,NA,NA,NA,2020-03-03,NA
"Aragón","3/3/2020",0,0,NA,NA,NA,NA,2020-03-03,NA
"Asturias","3/3/2020",2,2,NA,1,1,0,2020-03-03,NA
"Baleares","3/3/2020",5,5,NA,NA,NA,NA,2020-03-03,NA
"Canarias","3/3/2020",7,7,NA,NA,NA,NA,2020-03-03,NA
"Cantabria","3/3/2020",10,10,NA,NA,NA,NA,2020-03-03,NA
"Castilla-La Mancha","3/3/2020",12,12,NA,NA,NA,NA,2020-03-03,NA
"Castilla y León","3/3/2020",11,11,NA,NA,NA,NA,2020-03-03,NA
"Cataluña","3/3/2020",15,15,NA,NA,NA,NA,2020-03-03,NA
"Ceuta","3/3/2020",0,0,NA,NA,NA,NA,2020-03-03,NA
"C. Valenciana","3/3/2020",19,19,NA,105,5,NA,2020-03-03,NA
"Extremadura","3/3/2020",6,6,NA,NA,NA,NA,2020-03-03,NA
"Galicia","3/3/2020",1,1,NA,NA,NA,NA,2020-03-03,NA
"Madrid","3/3/2020",142,142,NA,NA,NA,NA,2020-03-03,NA
"Melilla","3/3/2020",0,0,NA,NA,NA,NA,2020-03-03,NA
"Murcia","3/3/2020",0,0,NA,NA,NA,NA,2020-03-03,NA
"Navarra","3/3/2020",3,3,NA,NA,NA,NA,2020-03-03,NA
"País Vasco","3/3/2020",17,17,NA,NA,NA,NA,2020-03-03,NA
"La Rioja","3/3/2020",7,7,NA,NA,NA,NA,2020-03-03,NA
"Andalucía","4/3/2020",12,12,NA,NA,NA,NA,2020-03-04,NA
"Aragón","4/3/2020",1,1,NA,NA,NA,NA,2020-03-04,NA
"Asturias","4/3/2020",4,4,NA,1,1,0,2020-03-04,NA
"Baleares","4/3/2020",6,6,NA,NA,NA,NA,2020-03-04,NA
"Canarias","4/3/2020",8,8,NA,NA,NA,NA,2020-03-04,NA
"Cantabria","4/3/2020",10,10,NA,NA,NA,NA,2020-03-04,NA
"Castilla-La Mancha","4/3/2020",13,13,NA,NA,NA,NA,2020-03-04,NA
"Castilla y León","4/3/2020",11,11,NA,NA,NA,NA,2020-03-04,NA
"Cataluña","4/3/2020",24,24,NA,NA,NA,NA,2020-03-04,NA
"Ceuta","4/3/2020",0,0,NA,NA,NA,NA,2020-03-04,NA
"C. Valenciana","4/3/2020",19,19,NA,117,6,NA,2020-03-04,NA
"Extremadura","4/3/2020",6,6,NA,NA,NA,NA,2020-03-04,NA
"Galicia","4/3/2020",1,1,NA,NA,NA,NA,2020-03-04,NA
"Madrid","4/3/2020",199,199,NA,NA,NA,NA,2020-03-04,NA
"Melilla","4/3/2020",0,0,NA,NA,NA,NA,2020-03-04,NA
"Murcia","4/3/2020",0,0,NA,NA,NA,NA,2020-03-04,NA
"Navarra","4/3/2020",3,3,NA,NA,NA,NA,2020-03-04,NA
"País Vasco","4/3/2020",17,17,NA,NA,NA,NA,2020-03-04,NA
"La Rioja","4/3/2020",17,17,NA,NA,NA,NA,2020-03-04,NA
"Andalucía","5/3/2020",21,21,NA,NA,NA,NA,2020-03-05,NA
"Aragón","5/3/2020",1,1,NA,NA,NA,NA,2020-03-05,NA
"Asturias","5/3/2020",4,4,NA,4,1,0,2020-03-05,NA
"Baleares","5/3/2020",6,6,NA,NA,NA,NA,2020-03-05,NA
"Canarias","5/3/2020",11,11,NA,NA,NA,NA,2020-03-05,NA
"Cantabria","5/3/2020",10,10,NA,NA,NA,NA,2020-03-05,NA
"Castilla-La Mancha","5/3/2020",15,15,NA,NA,NA,NA,2020-03-05,NA
"Castilla y León","5/3/2020",14,14,NA,NA,NA,NA,2020-03-05,NA
"Cataluña","5/3/2020",24,24,NA,NA,NA,NA,2020-03-05,NA
"Ceuta","5/3/2020",0,0,NA,NA,NA,NA,2020-03-05,NA
"C. Valenciana","5/3/2020",30,30,NA,130,8,NA,2020-03-05,NA
"Extremadura","5/3/2020",6,6,NA,NA,NA,NA,2020-03-05,NA
"Galicia","5/3/2020",3,3,NA,NA,NA,NA,2020-03-05,NA
"Madrid","5/3/2020",311,311,NA,NA,NA,NA,2020-03-05,NA
"Melilla","5/3/2020",0,0,NA,NA,NA,NA,2020-03-05,NA
"Murcia","5/3/2020",0,0,NA,NA,NA,NA,2020-03-05,NA
"Navarra","5/3/2020",3,3,NA,NA,NA,NA,2020-03-05,NA
"País Vasco","5/3/2020",45,45,NA,NA,NA,NA,2020-03-05,NA
"La Rioja","5/3/2020",29,29,NA,NA,NA,NA,2020-03-05,NA
"Andalucía","6/3/2020",27,27,NA,NA,NA,NA,2020-03-06,NA
"Aragón","6/3/2020",5,5,NA,NA,NA,NA,2020-03-06,NA
"Asturias","6/3/2020",7,7,NA,4,1,0,2020-03-06,NA
"Baleares","6/3/2020",6,6,NA,NA,NA,NA,2020-03-06,NA
