provincia_iso,fecha,num_casos
MA,2020-04-20,5
ME,2020-04-20,2
MU,2020-04-20,2
NA,2020-04-20,58
O,2020-04-20,8
OR,2020-04-20,15
P,2020-04-20,14
PM,2020-04-20,18
PO,2020-04-20,15
S,2020-04-20,25
SA,2020-04-20,17
SE,2020-04-20,8
SG,2020-04-20,15
SO,2020-04-20,14
SS,2020-04-20,2
T,2020-04-20,14
TE,2020-04-20,3
TF,2020-04-20,11
TO,2020-04-20,32
V,2020-04-20,30
VA,2020-04-20,59
VI,2020-04-20,9
Z,2020-04-20,25
ZA,2020-04-20,10
A,2020-04-21,101
AB,2020-04-21,70
AL,2020-04-21,24
AV,2020-04-21,6
B,2020-04-21,163
BA,2020-04-21,23
BI,2020-04-21,93
BU,2020-04-21,29
C,2020-04-21,29
CA,2020-04-21,11
CC,2020-04-21,38
CE,2020-04-21,2
CO,2020-04-21,14
CR,2020-04-21,54
CS,2020-04-21,21
CU,2020-04-21,0
GC,2020-04-21,1
GI,2020-04-21,20
GR,2020-04-21,29
GU,2020-04-21,10
H,2020-04-21,2
HU,2020-04-21,5
J,2020-04-21,9
L,2020-04-21,13
LE,2020-04-21,43
LO,2020-04-21,6
LU,2020-04-21,7
M,2020-04-21,431
MA,2020-04-21,44
ME,2020-04-21,0
MU,2020-04-21,6
NA,2020-04-21,177
O,2020-04-21,13
OR,2020-04-21,8
P,2020-04-21,25
PM,2020-04-21,11
PO,2020-04-21,16
S,2020-04-21,38
SA,2020-04-21,49
SE,2020-04-21,24
SG,2020-04-21,47
SO,2020-04-21,36
SS,2020-04-21,2
T,2020-04-21,8
TE,2020-04-21,0
TF,2020-04-21,6
TO,2020-04-21,13
V,2020-04-21,78
VA,2020-04-21,35
VI,2020-04-21,2
Z,2020-04-21,29
ZA,2020-04-21,9
A,2020-04-22,74
AB,2020-04-22,53
AL,2020-04-22,9
AV,2020-04-22,12
B,2020-04-22,263
BA,2020-04-22,23
BI,2020-04-22,95
BU,2020-04-22,42
C,2020-04-22,33
CA,2020-04-22,8
CC,2020-04-22,61
CE,2020-04-22,3
CO,2020-04-22,14
CR,2020-04-22,77
CS,2020-04-22,5
CU,2020-04-22,6
GC,2020-04-22,0
GI,2020-04-22,32
GR,2020-04-22,23
GU,2020-04-22,4
H,2020-04-22,3
HU,2020-04-22,5
J,2020-04-22,9
L,2020-04-22,7
LE,2020-04-22,68
LO,2020-04-22,15
LU,2020-04-22,7
M,2020-04-22,447
MA,2020-04-22,51
ME,2020-04-22,1
MU,2020-04-22,8
NA,2020-04-22,204
O,2020-04-22,7
OR,2020-04-22,7
P,2020-04-22,10
PM,2020-04-22,8
PO,2020-04-22,28
S,2020-04-22,52
SA,2020-04-22,20
SE,2020-04-22,16
SG,2020-04-22,39
SO,2020-04-22,23
SS,2020-04-22,8
T,2020-04-22,16
TE,2020-04-22,2
TF,2020-04-22,7
TO,2020-04-22,16
V,2020-04-22,64
VA,2020-04-22,32
VI,2020-04-22,6
Z,2020-04-22,50
ZA,2020-04-22,6
A,2020-04-23,104
AB,2020-04-23,31
AL,2020-04-23,10
AV,2020-04-23,16
B,2020-04-23,218
BA,2020-04-23,25
BI,2020-04-23,89
BU,2020-04-23,28
C,2020-04-23,44
CA,2020-04-23,17
CC,2020-04-23,52
CE,2020-04-23,3
CO,2020-04-23,18
CR,2020-04-23,30
CS,2020-04-23,14
CU,2020-04-23,2
GC,2020-04-23,4
GI,2020-04-23,23
GR,2020-04-23,34
GU,2020-04-23,11
H,2020-04-23,7
HU,2020-04-23,3
J,2020-04-23,20
L,2020-04-23,17
LE,2020-04-23,29
LO,2020-04-23,13
LU,2020-04-23,6
M,2020-04-23,364
MA,2020-04-23,43
ME,2020-04-23,0
MU,2020-04-23,11
NA,2020-04-23,202
O,2020-04-23,9
