COD17ZON,OSI_NOM_eu,OSI_NOM_es,Cod_bopv1,Cod_osi,ZON_Cod,ZONA_Nom,ZONA_Nom1
304021,Bilbao - Basurto,Bilbo - Basurtu,2.3.21,4,2321,ZORROZA-ALONSOTEGI,Zorroza
305005,Uribe,Uribe,2.4.05,5,2405,GORLIZ-PLENTZIA,Gorliz - Plentzia
306006,Barrualde - Galdakao,Barrualde - Galdakao,2.5.07,6,2507,BASAURI-ARIZ,Basauri-Ariz
306007,Barrualde - Galdakao,Barrualde - Galdakao,2.5.06,6,2506,BASAURI-KAREAGA,Basauri-Kareaga
305009,Uribe,Uribe,2.4.09,5,2409,SOPELANA,Sopela
304001,Bilbao - Basurto,Bilbo - Basurtu,2.3.01,4,2301,BASURTO,Basurto
304002,Bilbao - Basurto,Bilbo - Basurtu,2.3.02,4,2302,BEGOÑA,Begoña
304003,Bilbao - Basurto,Bilbo - Basurtu,2.3.04,4,2304,BOLUETA - SAGARMINAGA,Bolueta
304004,Bilbao - Basurto,Bilbo - Basurtu,2.3.05,4,2305,BOMBERO ETXANIZ,Bombero Etxaniz
304005,Bilbao - Basurto,Bilbo - Basurtu,2.3.06,4,2306,CASCO VIEJO (BILBAO),Casco Viejo (Bilbao)
304006,Bilbao - Basurto,Bilbo - Basurtu,2.3.07,4,2307,DEUSTO,Deusto
304007,Bilbao - Basurto,Bilbo - Basurtu,2.3.22,4,2322,GAZTELEKU,Gazteleku
304008,Bilbao - Basurto,Bilbo - Basurtu,2.3.08,4,2308,INDAUTXU,Indautxu
304009,Bilbao - Basurto,Bilbo - Basurtu,2.3.09,4,2309,JAVIER SÁENZ DE BURUAGA,Javier Sáenz de Buruaga
304010,Bilbao - Basurto,Bilbo - Basurtu,2.3.17,4,2317,KARMELO,Karmelo
304011,Bilbao - Basurto,Bilbo - Basurtu,2.3.19,4,2319,LA MERCED,La Merced
304013,Bilbao - Basurto,Bilbo - Basurtu,2.3.12,4,2312,MINA DEL MORRO,Mina del Morro
304014,Bilbao - Basurto,Bilbo - Basurtu,2.3.10,4,2310,MIRIBILLA,Miribilla-La Merced
304020,Bilbao - Basurto,Bilbo - Basurtu,2.3.20,4,2320,TXURDINAGA,Txurdinaga
304015,Bilbao - Basurto,Bilbo - Basurtu,2.3.13,4,2313,OTXARKOAGA,Otxarkoaga
304016,Bilbao - Basurto,Bilbo - Basurtu,2.3.14,4,2314,REKALDE,Rekalde
304017,Bilbao - Basurto,Bilbo - Basurtu,2.3.15,4,2315,SAN ADRIÁN,San Adrián
304018,Bilbao - Basurto,Bilbo - Basurtu,2.3.16,4,2316,SAN IGNACIO,San Ignacio
304019,Bilbao - Basurto,Bilbo - Basurtu,2.3.18,4,2318,SANTUTXU-SOLOKOETXE,Santutxu-Solokoetxe
304022,Bilbao - Basurto,Bilbo - Basurtu,2.3.03,4,2303,ZURBARAN,Zurbaran
306009,Barrualde - Galdakao,Barrualde - Galdakao,2.5.09,6,2509,DURANGO,Durango
306010,Barrualde - Galdakao,Barrualde - Galdakao,2.5.10,6,2510,ETXEBARRI,Etxebarri
