"name","date","value","daily_cases_avg7","OSI_NOM_eu"
"ABALTZISKETA",2020-09-09,0,0.3,"Otros"
"ABALTZISKETA",2020-08-11,0,NA,"Otros"
"ABALTZISKETA",2020-07-13,0,NA,"Otros"
"ABALTZISKETA",2020-06-13,0,NA,"Otros"
"ABALTZISKETA",2020-08-26,0,NA,"Otros"
"ABALTZISKETA",2020-07-28,0,NA,"Otros"
"ABALTZISKETA",2020-06-29,0,NA,"Otros"
"ABALTZISKETA",2020-09-10,0,0.3,"Otros"
"ABALTZISKETA",2020-08-12,0,NA,"Otros"
"ABALTZISKETA",2020-07-14,0,NA,"Otros"
"ABALTZISKETA",2020-06-14,0,NA,"Otros"
"ABALTZISKETA",2020-08-27,0,NA,"Otros"
"ABALTZISKETA",2020-07-29,0,NA,"Otros"
"ABALTZISKETA",2020-06-30,0,NA,"Otros"
"ABALTZISKETA",2020-09-11,0,0.3,"Otros"
"ABALTZISKETA",2020-08-13,0,NA,"Otros"
"ABALTZISKETA",2020-07-15,0,NA,"Otros"
"ABALTZISKETA",2020-06-15,0,NA,"Otros"
"ABALTZISKETA",2020-08-28,0,NA,"Otros"
"ABALTZISKETA",2020-07-30,0,NA,"Otros"
"ABALTZISKETA",2020-07-01,0,NA,"Otros"
"ABALTZISKETA",2020-09-12,0,0.3,"Otros"
"ABALTZISKETA",2020-08-14,0,NA,"Otros"
"ABALTZISKETA",2020-07-16,0,NA,"Otros"
"ABALTZISKETA",2020-06-16,0,NA,"Otros"
"ABALTZISKETA",2020-08-29,0,NA,"Otros"
"ABALTZISKETA",2020-07-31,0,NA,"Otros"
"ABALTZISKETA",2020-07-02,0,NA,"Otros"
"ABALTZISKETA",2020-09-13,0,0.1,"Otros"
"ABALTZISKETA",2020-08-15,0,NA,"Otros"
"ABALTZISKETA",2020-07-17,0,NA,"Otros"
"ABALTZISKETA",2020-06-17,0,NA,"Otros"
"ABALTZISKETA",2020-08-30,0,NA,"Otros"
"ABALTZISKETA",2020-08-01,0,NA,"Otros"
"ABALTZISKETA",2020-07-03,0,NA,"Otros"
"ABALTZISKETA",2020-09-14,0,NA,"Otros"
"ABALTZISKETA",2020-08-16,0,NA,"Otros"
"ABALTZISKETA",2020-07-18,0,NA,"Otros"
"ABALTZISKETA",2020-06-18,0,NA,"Otros"
"ABALTZISKETA",2020-08-31,0,NA,"Otros"
"ABALTZISKETA",2020-08-02,0,NA,"Otros"
"ABALTZISKETA",2020-07-04,0,NA,"Otros"
"ABALTZISKETA",2020-08-17,0,NA,"Otros"
"ABALTZISKETA",2020-07-19,0,NA,"Otros"
"ABALTZISKETA",2020-06-19,0,NA,"Otros"
"ABALTZISKETA",2020-09-01,0,NA,"Otros"
"ABALTZISKETA",2020-08-03,0,NA,"Otros"
"ABALTZISKETA",2020-07-05,0,NA,"Otros"
"ABALTZISKETA",2020-08-18,0,NA,"Otros"
"ABALTZISKETA",2020-07-20,0,NA,"Otros"
"ABALTZISKETA",2020-06-20,0,NA,"Otros"
"ABALTZISKETA",2020-09-02,0,NA,"Otros"
"ABALTZISKETA",2020-08-04,0,NA,"Otros"
"ABALTZISKETA",2020-07-06,0,NA,"Otros"
"ABALTZISKETA",2020-08-19,0,NA,"Otros"
"ABALTZISKETA",2020-07-21,0,NA,"Otros"
"ABALTZISKETA",2020-06-21,0,NA,"Otros"
"ABALTZISKETA",2020-09-03,0,NA,"Otros"
"ABALTZISKETA",2020-08-05,0,NA,"Otros"
"ABALTZISKETA",2020-07-07,0,NA,"Otros"
"ABALTZISKETA",2020-08-20,0,NA,"Otros"
"ABALTZISKETA",2020-07-22,0,NA,"Otros"
"ABALTZISKETA",2020-06-23,0,NA,"Otros"
"ABALTZISKETA",2020-09-04,0,NA,"Otros"
"ABALTZISKETA",2020-08-06,0,NA,"Otros"
"ABALTZISKETA",2020-07-08,0,NA,"Otros"
"ABALTZISKETA",2020-08-21,0,NA,"Otros"
"ABALTZISKETA",2020-07-23,0,NA,"Otros"
"ABALTZISKETA",2020-06-24,0,NA,"Otros"
"ABALTZISKETA",2020-09-05,0,NA,"Otros"
"ABALTZISKETA",2020-08-07,0,NA,"Otros"
"ABALTZISKETA",2020-07-09,0,NA,"Otros"
"ABALTZISKETA",2020-08-22,0,NA,"Otros"
"ABALTZISKETA",2020-07-24,0,NA,"Otros"
"ABALTZISKETA",2020-06-25,0,NA,"Otros"
"ABALTZISKETA",2020-09-06,1,0.1,"Otros"
"ABALTZISKETA",2020-08-08,0,NA,"Otros"
"ABALTZISKETA",2020-07-10,0,NA,"Otros"
