"CCAA","value","date","poblacion","per_cienmil"
"Murcia",0,2020-03-11,1493898,0
"Murcia",0,2020-03-04,1493898,0
"Murcia",0,2020-03-09,1493898,0
"Murcia",0,2020-03-05,1493898,0
"Navarra",2,2020-03-10,654214,0.31
"Navarra",3,2020-03-12,654214,0.46
"Navarra",3,2020-03-11,654214,0.46
"Navarra",4,2020-03-13,654214,0.61
"Navarra",1,2020-03-04,654214,0.15
"Navarra",1,2020-03-09,654214,0.15
"Navarra",1,2020-03-06,654214,0.15
"Navarra",1,2020-03-05,654214,0.15
"País Vasco",1,2020-03-06,2207776,0.05
"País Vasco",5,2020-03-10,2207776,0.23
"País Vasco",5,2020-03-09,2207776,0.23
"País Vasco",15,2020-03-11,2207776,0.68
"País Vasco",20,2020-03-13,2207776,0.91
"País Vasco",18,2020-03-12,2207776,0.82
"País Vasco",0,2020-03-05,2207776,0
"País Vasco",0,2020-03-04,2207776,0
"Total",9,2020-03-05,NA,NA
"Total",68,2020-03-09,NA,NA
"Total",142,2020-03-11,NA,NA
"Total",272,2020-03-13,NA,NA
"Total",100,2020-03-10,NA,NA
"Total",190,2020-03-12,NA,NA
"Total",7,2020-03-04,NA,NA
"Total",11,2020-03-06,NA,NA
