"CCAA","cod_ine","value","date","poblacion","per_cienmil","daily_deaths","daily_deaths_inc","daily_deaths_avg6"
"Castilla-La Mancha",8,1132,2020-04-06,2032863,55.69,77,7.3,70.7
"Cataluña",9,2760,2020-04-06,7675217,35.96,123,4.7,181.3
"Ceuta",18,3,2020-04-06,84777,3.54,1,50,0.3
"Extremadura",11,228,2020-04-06,1067710,21.35,10,4.6,15.8
"Galicia",12,190,2020-04-06,2699499,7.04,16,9.2,17.7
"La Rioja",17,141,2020-04-06,316798,44.51,7,5.2,9.3
"Madrid",13,5136,2020-04-06,6663394,77.08,195,3.9,255.5
"Melilla",19,2,2020-04-06,86487,2.31,0,0,0.2
"Murcia",14,68,2020-04-06,1493898,4.55,9,15.3,5.7
"Navarra",15,187,2020-04-06,654214,28.58,9,5.1,12.3
"País Vasco",16,548,2020-04-06,2207776,24.82,33,6.4,37.2
"Total",0,13055,2020-04-06,NA,NA,637,5.1,811
"Andalucía",1,528,2020-04-07,8414240,6.28,37,7.5,36.7
"Aragón",2,312,2020-04-07,1319291,23.65,28,9.9,23.8
"Asturias",3,96,2020-04-07,1022800,9.39,10,11.6,5.5
"Baleares",4,84,2020-04-07,1149460,7.31,3,3.7,6.3
"C. Valenciana",10,672,2020-04-07,5003769,13.43,35,5.5,46.2
"Canarias",5,89,2020-04-07,2153389,4.13,4,4.7,4.5
"Cantabria",6,85,2020-04-07,581078,14.63,8,10.4,5.2
"Castilla y León",7,982,2020-04-07,2399548,40.92,63,6.9,66.2
"Castilla-La Mancha",8,1177,2020-04-07,2032863,57.9,45,4,67.2
"Cataluña",9,2908,2020-04-07,7675217,37.89,148,5.4,176.5
"Ceuta",18,4,2020-04-07,84777,4.72,1,33.3,0.5
"Extremadura",11,258,2020-04-07,1067710,24.16,30,13.2,17.7
"Galicia",12,204,2020-04-07,2699499,7.56,14,7.4,16.8
"La Rioja",17,160,2020-04-07,316798,50.51,19,13.5,11.7
"Madrid",13,5371,2020-04-07,6663394,80.6,235,4.6,251
"Melilla",19,2,2020-04-07,86487,2.31,0,0,0.2
"Murcia",14,78,2020-04-07,1493898,5.22,10,14.7,6.8
"Navarra",15,202,2020-04-07,654214,30.88,15,8,12
"País Vasco",16,586,2020-04-07,2207776,26.54,38,6.9,36.2
"Total",0,13798,2020-04-07,NA,NA,743,5.7,790.8
"Andalucía",1,605,2020-04-08,8414240,7.19,77,14.6,43.7
"Aragón",2,349,2020-04-08,1319291,26.45,37,11.9,24.8
"Asturias",3,102,2020-04-08,1022800,9.97,6,6.2,5.5
"Baleares",4,89,2020-04-08,1149460,7.74,5,6,5.2
"C. Valenciana",10,724,2020-04-08,5003769,14.47,52,7.7,46.8
"Canarias",5,91,2020-04-08,2153389,4.23,2,2.2,3.8
"Cantabria",6,92,2020-04-08,581078,15.83,7,8.2,5.3
"Castilla y León",7,1028,2020-04-08,2399548,42.84,46,4.7,64.5
"Castilla-La Mancha",8,1255,2020-04-08,2032863,61.74,78,6.6,66.8
"Cataluña",9,3041,2020-04-08,7675217,39.62,133,4.6,158
"Ceuta",18,4,2020-04-08,84777,4.72,0,0,0.5
"Extremadura",11,271,2020-04-08,1067710,25.38,13,5,15
"Galicia",12,213,2020-04-08,2699499,7.89,9,4.4,15.5
"La Rioja",17,177,2020-04-08,316798,55.87,17,10.6,12.7
"Madrid",13,5586,2020-04-08,6663394,83.83,215,4,235.2
"Melilla",19,2,2020-04-08,86487,2.31,0,0,0.2
"Murcia",14,85,2020-04-08,1493898,5.69,7,9,7.2
"Navarra",15,206,2020-04-08,654214,31.49,4,2,10.8
"País Vasco",16,635,2020-04-08,2207776,28.76,49,8.4,37.2
"Total",0,14555,2020-04-08,NA,NA,757,5.5,758.7
"Andalucía",1,652,2020-04-09,8414240,7.75,47,7.8,46
"Aragón",2,385,2020-04-09,1319291,29.18,36,10.3,26.8
"Asturias",3,110,2020-04-09,1022800,10.75,8,7.8,6.7
"Baleares",4,89,2020-04-09,1149460,7.74,0,0,3.3
"C. Valenciana",10,767,2020-04-09,5003769,15.33,43,5.9,42.7
"Canarias",5,92,2020-04-09,2153389,4.27,1,1.1,3.2
"Cantabria",6,98,2020-04-09,581078,16.87,6,6.5,5.7
"Castilla y León",7,1082,2020-04-09,2399548,45.09,54,5.3,59.8
"Castilla-La Mancha",8,1322,2020-04-09,2032863,65.03,67,5.3,67.7
"Cataluña",9,3148,2020-04-09,7675217,41.02,107,3.5,135.5
"Ceuta",18,4,2020-04-09,84777,4.72,0,0,0.5
"Extremadura",11,283,2020-04-09,1067710,26.51,12,4.4,13.8
"Galicia",12,231,2020-04-09,2699499,8.56,18,8.5,15.5
"La Rioja",17,182,2020-04-09,316798,57.45,5,2.8,12.2
"Madrid",13,5800,2020-04-09,6663394,87.04,214,3.8,219.5
"Melilla",19,2,2020-04-09,86487,2.31,0,0,0
"Murcia",14,88,2020-04-09,1493898,5.89,3,3.5,7
"Navarra",15,214,2020-04-09,654214,32.71,8,3.9,10.5
"País Vasco",16,689,2020-04-09,2207776,31.21,54,8.5,40.8
"Total",0,15238,2020-04-09,NA,NA,683,4.7,717.2
"Andalucía",1,691,2020-04-10,8414240,8.21,39,6,44.2
"Aragón",2,409,2020-04-10,1319291,31,24,6.2,26.3
"Asturias",3,121,2020-04-10,1022800,11.83,11,10,7.5
"Baleares",4,97,2020-04-10,1149460,8.44,8,9,4.3
"C. Valenciana",10,796,2020-04-10,5003769,15.91,29,3.8,37.5
"Canarias",5,94,2020-04-10,2153389,4.37,2,2.2,2.7
"Cantabria",6,102,2020-04-10,581078,17.55,4,4.1,5.7
"Castilla y León",7,1129,2020-04-10,2399548,47.05,47,4.3,57.2
"Castilla-La Mancha",8,1431,2020-04-10,2032863,70.39,109,8.2,73.7
"Cataluña",9,3231,2020-04-10,7675217,42.1,83,2.6,120.5
"Ceuta",18,4,2020-04-10,84777,4.72,0,0,0.5
"Extremadura",11,288,2020-04-10,1067710,26.97,5,1.8,13.3
"Galicia",12,243,2020-04-10,2699499,9,12,5.2,14
"La Rioja",17,196,2020-04-10,316798,61.87,14,7.7,11.3
"Madrid",13,5972,2020-04-10,6663394,89.62,172,3,208.2
"Melilla",19,2,2020-04-10,86487,2.31,0,0,0
"Murcia",14,90,2020-04-10,1493898,6.02,2,2.3,6.5
"Navarra",15,218,2020-04-10,654214,33.32,4,1.9,7.8
"País Vasco",16,729,2020-04-10,2207776,33.02,40,5.8,42
"Total",0,15843,2020-04-10,NA,NA,605,4,683.2
"Andalucía",1,737,2020-04-11,8414240,8.76,46,6.7,44.5
"Aragón",2,425,2020-04-11,1319291,32.21,16,3.9,25.8
"Asturias",3,128,2020-04-11,1022800,12.51,7,5.8,8
"Baleares",4,102,2020-04-11,1149460,8.87,5,5.2,4.5
"C. Valenciana",10,818,2020-04-11,5003769,16.35,22,2.8,34.2
"Canarias",5,95,2020-04-11,2153389,4.41,1,1.1,2.5
"Cantabria",6,107,2020-04-11,581078,18.41,5,4.9,6.5
"Castilla y León",7,1180,2020-04-11,2399548,49.18,51,4.5,55.5
"Castilla-La Mancha",8,1483,2020-04-11,2032863,72.95,52,3.6,71.3
"Cataluña",9,3331,2020-04-11,7675217,43.4,100,3.1,115.7
"Ceuta",18,4,2020-04-11,84777,4.72,0,0,0.3
"Extremadura",11,303,2020-04-11,1067710,28.38,15,5.2,14.2
"Galicia",12,261,2020-04-11,2699499,9.67,18,7.4,14.5
"La Rioja",17,207,2020-04-11,316798,65.34,11,5.6,12.2
"Madrid",13,6084,2020-04-11,6663394,91.3,112,1.9,190.5
"Melilla",19,2,2020-04-11,86487,2.31,0,0,0
"Murcia",14,94,2020-04-11,1493898,6.29,4,4.4,5.8
"Navarra",15,227,2020-04-11,654214,34.7,9,4.1,8.2
"País Vasco",16,765,2020-04-11,2207776,34.65,36,4.9,41.7
"Total",0,16353,2020-04-11,NA,NA,510,3.2,655.8
"Andalucía",1,799,2020-04-12,8414240,9.5,62,8.4,51.3
"Aragón",2,450,2020-04-12,1319291,34.11,25,5.9,27.7
"Asturias",3,140,2020-04-12,1022800,13.69,12,9.4,9
"Baleares",4,112,2020-04-12,1149460,9.74,10,9.8,5.2
"C. Valenciana",10,838,2020-04-12,5003769,16.75,20,2.4,33.5
"Canarias",5,95,2020-04-12,2153389,4.41,0,0,1.7
"Cantabria",6,110,2020-04-12,581078,18.93,3,2.8,5.5
"Castilla y León",7,1221,2020-04-12,2399548,50.88,41,3.5,50.3
"Castilla-La Mancha",8,1543,2020-04-12,2032863,75.9,60,4,68.5
"Cataluña",9,3442,2020-04-12,7675217,44.85,111,3.3,113.7
"Ceuta",18,4,2020-04-12,84777,4.72,0,0,0.2
"Extremadura",11,312,2020-04-12,1067710,29.22,9,3,14
"Galicia",12,274,2020-04-12,2699499,10.15,13,5,14
"La Rioja",17,219,2020-04-12,316798,69.13,12,5.8,13
"Madrid",13,6278,2020-04-12,6663394,94.22,194,3.2,190.3
"Melilla",19,2,2020-04-12,86487,2.31,0,0,0
"Murcia",14,97,2020-04-12,1493898,6.49,3,3.2,4.8
"Navarra",15,232,2020-04-12,654214,35.46,5,2.2,7.5
"País Vasco",16,804,2020-04-12,2207776,36.42,39,5.1,42.7
"Total",0,16972,2020-04-12,NA,NA,619,3.8,652.8
"Andalucía",1,815,2020-04-13,8414240,9.69,16,2,47.8
"Aragón",2,464,2020-04-13,1319291,35.17,14,3.1,25.3
"Asturias",3,149,2020-04-13,1022800,14.57,9,6.4,8.8
"Baleares",4,117,2020-04-13,1149460,10.18,5,4.5,5.5
"C. Valenciana",10,876,2020-04-13,5003769,17.51,38,4.5,34
"Canarias",5,96,2020-04-13,2153389,4.46,1,1.1,1.2
"Cantabria",6,117,2020-04-13,581078,20.13,7,6.4,5.3
"Castilla y León",7,1263,2020-04-13,2399548,52.63,42,3.4,46.8
"Castilla-La Mancha",8,1626,2020-04-13,2032863,79.99,83,5.4,74.8
"Cataluña",9,3538,2020-04-13,7675217,46.1,96,2.8,105
"Ceuta",18,4,2020-04-13,84777,4.72,0,0,0
"Extremadura",11,321,2020-04-13,1067710,30.06,9,2.9,10.5
"Galicia",12,284,2020-04-13,2699499,10.52,10,3.6,13.3
"La Rioja",17,223,2020-04-13,316798,70.39,4,1.8,10.5
"Madrid",13,6423,2020-04-13,6663394,96.39,145,2.3,175.3
"Melilla",19,2,2020-04-13,86487,2.31,0,0,0
"Murcia",14,101,2020-04-13,1493898,6.76,4,4.1,3.8
"Navarra",15,239,2020-04-13,654214,36.53,7,3,6.2
"País Vasco",16,831,2020-04-13,2207776,37.64,27,3.4,40.8
"Total",0,17489,2020-04-13,NA,NA,517,3,615.2
"Andalucía",1,836,2020-04-14,8414240,9.94,21,2.6,38.5
"Aragón",2,492,2020-04-14,1319291,37.29,28,6,23.8
"Asturias",3,156,2020-04-14,1022800,15.25,7,4.7,9
"Baleares",4,118,2020-04-14,1149460,10.27,1,0.9,4.8
"C. Valenciana",10,907,2020-04-14,5003769,18.13,31,3.5,30.5
"Canarias",5,102,2020-04-14,2153389,4.74,6,6.2,1.8
"Cantabria",6,120,2020-04-14,581078,20.65,3,2.6,4.7
"Castilla y León",7,1299,2020-04-14,2399548,54.14,36,2.9,45.2
"Castilla-La Mancha",8,1714,2020-04-14,2032863,84.31,88,5.4,76.5
"Cataluña",9,3666,2020-04-14,7675217,47.76,128,3.6,104.2
"Ceuta",18,4,2020-04-14,84777,4.72,0,0,0
"Extremadura",11,334,2020-04-14,1067710,31.28,13,4,10.5
"Galicia",12,290,2020-04-14,2699499,10.74,6,2.1,12.8
"La Rioja",17,234,2020-04-14,316798,73.86,11,4.9,9.5
"Madrid",13,6568,2020-04-14,6663394,98.57,145,2.3,163.7
"Melilla",19,2,2020-04-14,86487,2.31,0,0,0
"Murcia",14,106,2020-04-14,1493898,7.1,5,5,3.5
"Navarra",15,249,2020-04-14,654214,38.06,10,4.2,7.2
"País Vasco",16,859,2020-04-14,2207776,38.91,28,3.4,37.3
"Total",0,18056,2020-04-14,NA,NA,567,3.2,583.5
"Andalucía",1,865,2020-04-15,8414240,10.28,29,3.5,35.5
"Aragón",2,514,2020-04-15,1319291,38.96,22,4.5,21.5
"Asturias",3,166,2020-04-15,1022800,16.23,10,6.4,9.3
"Baleares",4,125,2020-04-15,1149460,10.87,7,5.9,6
"C. Valenciana",10,945,2020-04-15,5003769,18.89,38,4.2,29.7
"Canarias",5,104,2020-04-15,2153389,4.83,2,2,2
"Cantabria",6,132,2020-04-15,581078,22.72,12,10,5.7
"Castilla y León",7,1337,2020-04-15,2399548,55.72,38,2.9,42.5
"Castilla-La Mancha",8,1755,2020-04-15,2032863,86.33,41,2.4,72.2
"Cataluña",9,3756,2020-04-15,7675217,48.94,90,2.5,101.3
"Ceuta",18,4,2020-04-15,84777,4.72,0,0,0
"Extremadura",11,342,2020-04-15,1067710,32.03,8,2.4,9.8
"Galicia",12,299,2020-04-15,2699499,11.08,9,3.1,11.3
"La Rioja",17,246,2020-04-15,316798,77.65,12,5.1,10.7
"Madrid",13,6724,2020-04-15,6663394,100.91,156,2.4,154
"Melilla",19,2,2020-04-15,86487,2.31,0,0,0
"Murcia",14,109,2020-04-15,1493898,7.3,3,2.8,3.5
"Navarra",15,252,2020-04-15,654214,38.52,3,1.2,6.3
"País Vasco",16,902,2020-04-15,2207776,40.86,43,5,35.5
"Total",0,18579,2020-04-15,NA,NA,523,2.9,556.8
"Andalucía",1,912,2020-04-16,8414240,10.84,47,5.4,36.8
"Aragón",2,543,2020-04-16,1319291,41.16,29,5.6,22.3
"Asturias",3,168,2020-04-16,1022800,16.43,2,1.2,7.8
"Baleares",4,131,2020-04-16,1149460,11.4,6,4.8,5.7
"C. Valenciana",10,972,2020-04-16,5003769,19.43,27,2.9,29.3
"Canarias",5,107,2020-04-16,2153389,4.97,3,2.9,2.2
"Cantabria",6,137,2020-04-16,581078,23.58,5,3.8,5.8
"Castilla y León",7,1372,2020-04-16,2399548,57.18,35,2.6,40.5
"Castilla-La Mancha",8,1796,2020-04-16,2032863,88.35,41,2.3,60.8
"Cataluña",9,3855,2020-04-16,7675217,50.23,99,2.6,104
"Ceuta",18,4,2020-04-16,84777,4.72,0,0,0
"Extremadura",11,359,2020-04-16,1067710,33.62,17,5,11.8
"Galicia",12,310,2020-04-16,2699499,11.48,11,3.7,11.2
"La Rioja",17,257,2020-04-16,316798,81.12,11,4.5,10.2
"Madrid",13,6877,2020-04-16,6663394,103.21,153,2.3,150.8
"Melilla",19,2,2020-04-16,86487,2.31,0,0,0
"Murcia",14,111,2020-04-16,1493898,7.43,2,1.8,3.5
"Navarra",15,261,2020-04-16,654214,39.9,9,3.6,7.2
"País Vasco",16,956,2020-04-16,2207776,43.3,54,6,37.8
"Total",0,19130,2020-04-16,NA,NA,551,3,547.8
"Andalucía",1,940,2020-04-17,8414240,11.17,28,3.1,33.8
"Aragón",2,562,2020-04-17,1319291,42.6,19,3.5,22.8
"Asturias",3,174,2020-04-17,1022800,17.01,6,3.6,7.7
"Baleares",4,134,2020-04-17,1149460,11.66,3,2.3,5.3
"C. Valenciana",10,999,2020-04-17,5003769,19.96,27,2.8,30.2
"Canarias",5,111,2020-04-17,2153389,5.15,4,3.7,2.7
"Cantabria",6,144,2020-04-17,581078,24.78,7,5.1,6.2
"Castilla y León",7,1401,2020-04-17,2399548,58.39,29,2.1,36.8
"Castilla-La Mancha",8,1852,2020-04-17,2032863,91.1,56,3.1,61.5
"Cataluña",9,3752,2020-04-17,7675217,48.88,-103,-2.7,70.2
"Ceuta",18,4,2020-04-17,84777,4.72,0,0,0
"Extremadura",11,372,2020-04-17,1067710,34.84,13,3.6,11.5
"Galicia",12,320,2020-04-17,2699499,11.85,10,3.2,9.8
"La Rioja",17,262,2020-04-17,316798,82.7,5,1.9,9.2
"Madrid",13,7007,2020-04-17,6663394,105.16,130,1.9,153.8
"Melilla",19,2,2020-04-17,86487,2.31,0,0,0
"Murcia",14,112,2020-04-17,1493898,7.5,1,0.9,3
"Navarra",15,338,2020-04-17,654214,51.67,77,29.5,18.5
"País Vasco",16,992,2020-04-17,2207776,44.93,36,3.8,37.8
"Total",0,19478,2020-04-17,NA,NA,348,1.8,520.8
"Andalucía",1,967,2020-04-18,8414240,11.49,27,2.9,28
"Aragón",2,601,2020-04-18,1319291,45.55,39,6.9,25.2
"Asturias",3,187,2020-04-18,1022800,18.28,13,7.5,7.8
"Baleares",4,148,2020-04-18,1149460,12.88,14,10.4,6
"C. Valenciana",10,1042,2020-04-18,5003769,20.82,43,4.3,34
"Canarias",5,115,2020-04-18,2153389,5.34,4,3.6,3.3
"Cantabria",6,149,2020-04-18,581078,25.64,5,3.5,6.5
"Castilla y León",7,1429,2020-04-18,2399548,59.55,28,2,34.7
"Castilla-La Mancha",8,1913,2020-04-18,2032863,94.1,61,3.3,61.7
"Cataluña",9,3879,2020-04-18,7675217,50.54,127,3.4,72.8
"Ceuta",18,4,2020-04-18,84777,4.72,0,0,0
"Extremadura",11,380,2020-04-18,1067710,35.59,8,2.2,11.3
"Galicia",12,334,2020-04-18,2699499,12.37,14,4.4,10
"La Rioja",17,272,2020-04-18,316798,85.86,10,3.8,8.8
"Madrid",13,7132,2020-04-18,6663394,107.03,125,1.8,142.3
"Melilla",19,2,2020-04-18,86487,2.31,0,0,0
"Murcia",14,115,2020-04-18,1493898,7.7,3,2.7,3
"Navarra",15,354,2020-04-18,654214,54.11,16,4.7,20.3
"País Vasco",16,1020,2020-04-18,2207776,46.2,28,2.8,36
"Total",0,20043,2020-04-18,NA,NA,565,2.9,511.8
"Andalucía",1,993,2020-04-19,8414240,11.8,26,2.7,29.7
"Aragón",2,619,2020-04-19,1319291,46.92,18,3,25.8
"Asturias",3,196,2020-04-19,1022800,19.16,9,4.8,7.8
"Baleares",4,155,2020-04-19,1149460,13.48,7,4.7,6.3
"C. Valenciana",10,1065,2020-04-19,5003769,21.28,23,2.2,31.5
"Canarias",5,119,2020-04-19,2153389,5.53,4,3.5,3.8
"Cantabria",6,153,2020-04-19,581078,26.33,4,2.7,6
"Castilla y León",7,1458,2020-04-19,2399548,60.76,29,2,32.5
"Castilla-La Mancha",8,1963,2020-04-19,2032863,96.56,50,2.6,56.2
"Cataluña",9,3933,2020-04-19,7675217,51.24,54,1.4,65.8
"Ceuta",18,4,2020-04-19,84777,4.72,0,0,0
"Extremadura",11,384,2020-04-19,1067710,35.96,4,1.1,10.5
"Galicia",12,346,2020-04-19,2699499,12.82,12,3.6,10.3
"La Rioja",17,277,2020-04-19,316798,87.44,5,1.8,9
"Madrid",13,7239,2020-04-19,6663394,108.64,107,1.5,136
"Melilla",19,2,2020-04-19,86487,2.31,0,0,0
"Murcia",14,116,2020-04-19,1493898,7.76,1,0.9,2.5
"Navarra",15,369,2020-04-19,654214,56.4,15,4.2,21.7
"País Vasco",16,1062,2020-04-19,2207776,48.1,42,4.1,38.5
"Total",0,20453,2020-04-19,NA,NA,410,2,494
"Andalucía",1,1013,2020-04-20,8414240,12.04,20,2,29.5
"Aragón",2,637,2020-04-20,1319291,48.28,18,2.9,24.2
"Asturias",3,200,2020-04-20,1022800,19.55,4,2,7.3
"Baleares",4,157,2020-04-20,1149460,13.66,2,1.3,6.5
"C. Valenciana",10,1079,2020-04-20,5003769,21.56,14,1.3,28.7
"Canarias",5,119,2020-04-20,2153389,5.53,0,0,2.8
"Cantabria",6,158,2020-04-20,581078,27.19,5,3.3,6.3
"Castilla y León",7,1493,2020-04-20,2399548,62.22,35,2.4,32.3
"Castilla-La Mancha",8,2021,2020-04-20,2032863,99.42,58,3,51.2
"Cataluña",9,4009,2020-04-20,7675217,52.23,76,1.9,57.2
"Ceuta",18,4,2020-04-20,84777,4.72,0,0,0
"Extremadura",11,389,2020-04-20,1067710,36.43,5,1.3,9.2
"Galicia",12,352,2020-04-20,2699499,13.04,6,1.7,10.3
"La Rioja",17,285,2020-04-20,316798,89.96,8,2.9,8.5
"Madrid",13,7351,2020-04-20,6663394,110.32,112,1.5,130.5
"Melilla",19,2,2020-04-20,86487,2.31,0,0,0
"Murcia",14,117,2020-04-20,1493898,7.83,1,0.9,1.8
"Navarra",15,385,2020-04-20,654214,58.85,16,4.3,22.7
"País Vasco",16,1081,2020-04-20,2207776,48.96,19,1.8,37
"Total",0,20852,2020-04-20,NA,NA,399,2,466
"Andalucía",1,1017,2020-04-21,8414240,12.09,4,0.4,25.3
"Aragón",2,643,2020-04-21,1319291,48.74,6,0.9,21.5
"Asturias",3,202,2020-04-21,1022800,19.75,2,1,6
"Baleares",4,161,2020-04-21,1149460,14.01,4,2.5,6
"C. Valenciana",10,1089,2020-04-21,5003769,21.76,10,0.9,24
"Canarias",5,120,2020-04-21,2153389,5.57,1,0.8,2.7
"Cantabria",6,165,2020-04-21,581078,28.4,7,4.4,5.5
"Castilla y León",7,1521,2020-04-21,2399548,63.39,28,1.9,30.7
"Castilla-La Mancha",8,2075,2020-04-21,2032863,102.07,54,2.7,53.3
"Cataluña",9,4152,2020-04-21,7675217,54.1,143,3.6,66
"Ceuta",18,4,2020-04-21,84777,4.72,0,0,0
"Extremadura",11,397,2020-04-21,1067710,37.18,8,2.1,9.2
"Galicia",12,360,2020-04-21,2699499,13.34,8,2.3,10.2
"La Rioja",17,294,2020-04-21,316798,92.8,9,3.2,8
"Madrid",13,7460,2020-04-21,6663394,111.95,109,1.5,122.7
"Melilla",19,2,2020-04-21,86487,2.31,0,0,0
"Murcia",14,120,2020-04-21,1493898,8.03,3,2.6,1.8
"Navarra",15,397,2020-04-21,654214,60.68,12,3.1,24.2
"País Vasco",16,1103,2020-04-21,2207776,49.96,22,2,33.5
"Total",0,21282,2020-04-21,NA,NA,430,2.1,450.5
"Andalucía",1,1050,2020-04-22,8414240,12.48,33,3.2,23
"Aragón",2,656,2020-04-22,1319291,49.72,13,2,18.8
"Asturias",3,211,2020-04-22,1022800,20.63,9,4.5,7.2
"Baleares",4,164,2020-04-22,1149460,14.27,3,1.9,5.5
"C. Valenciana",10,1106,2020-04-22,5003769,22.1,17,1.6,22.3
"Canarias",5,121,2020-04-22,2153389,5.62,1,0.8,2.3
"Cantabria",6,167,2020-04-22,581078,28.74,2,1.2,5
"Castilla y León",7,1554,2020-04-22,2399548,64.76,33,2.2,30.3
"Castilla-La Mancha",8,2140,2020-04-22,2032863,105.27,65,3.1,57.3
"Cataluña",9,4247,2020-04-22,7675217,55.33,95,2.3,65.3
"Ceuta",18,4,2020-04-22,84777,4.72,0,0,0
"Extremadura",11,404,2020-04-22,1067710,37.84,7,1.8,7.5
"Galicia",12,368,2020-04-22,2699499,13.63,8,2.2,9.7
"La Rioja",17,298,2020-04-22,316798,94.07,4,1.4,6.8
"Madrid",13,7577,2020-04-22,6663394,113.71,117,1.6,116.7
"Melilla",19,2,2020-04-22,86487,2.31,0,0,0
"Murcia",14,123,2020-04-22,1493898,8.23,3,2.5,2
"Navarra",15,401,2020-04-22,654214,61.29,4,1,23.3
"País Vasco",16,1124,2020-04-22,2207776,50.91,21,1.9,28
"Total",0,21717,2020-04-22,NA,NA,435,2,431.2
"Andalucía",1,1079,2020-04-23,8414240,12.82,29,2.8,23.2
"Aragón",2,681,2020-04-23,1319291,51.62,25,3.8,19.8
"Asturias",3,223,2020-04-23,1022800,21.8,12,5.7,8.2
"Baleares",4,168,2020-04-23,1149460,14.62,4,2.4,5.7
"C. Valenciana",10,1124,2020-04-23,5003769,22.46,18,1.6,20.8
"Canarias",5,121,2020-04-23,2153389,5.62,0,0,1.7
"Cantabria",6,173,2020-04-23,581078,29.77,6,3.6,4.8
"Castilla y León",7,1582,2020-04-23,2399548,65.93,28,1.8,30.2
"Castilla-La Mancha",8,2188,2020-04-23,2032863,107.63,48,2.2,56
"Cataluña",9,4343,2020-04-23,7675217,56.58,96,2.3,98.5
"Ceuta",18,4,2020-04-23,84777,4.72,0,0,0
"Extremadura",11,407,2020-04-23,1067710,38.12,3,0.7,5.8
"Galicia",12,375,2020-04-23,2699499,13.89,7,1.9,9.2
"La Rioja",17,303,2020-04-23,316798,95.64,5,1.7,6.8
"Madrid",13,7684,2020-04-23,6663394,115.32,107,1.4,112.8
"Melilla",19,2,2020-04-23,86487,2.31,0,0,0
"Murcia",14,124,2020-04-23,1493898,8.3,1,0.8,2
"Navarra",15,409,2020-04-23,654214,62.52,8,2,11.8
"País Vasco",16,1167,2020-04-23,2207776,52.86,43,3.8,29.2
"Total",0,22157,2020-04-23,NA,NA,440,2,446.5
"Andalucía",1,1107,2020-04-24,8414240,13.16,28,2.6,23.3
"Aragón",2,695,2020-04-24,1319291,52.68,14,2.1,15.7
"Asturias",3,231,2020-04-24,1022800,22.59,8,3.6,7.3
"Baleares",4,172,2020-04-24,1149460,14.96,4,2.4,4
"C. Valenciana",10,1147,2020-04-24,5003769,22.92,23,2,17.5
"Canarias",5,128,2020-04-24,2153389,5.94,7,5.8,2.2
"Cantabria",6,178,2020-04-24,581078,30.63,5,2.9,4.8
"Castilla y León",7,1612,2020-04-24,2399548,67.18,30,1.9,30.5
"Castilla-La Mancha",8,2255,2020-04-24,2032863,110.93,67,3.1,57
"Cataluña",9,4393,2020-04-24,7675217,57.24,50,1.2,85.7
"Ceuta",18,4,2020-04-24,84777,4.72,0,0,0
"Extremadura",11,411,2020-04-24,1067710,38.49,4,1,5.2
"Galicia",12,382,2020-04-24,2699499,14.15,7,1.9,8
"La Rioja",17,307,2020-04-24,316798,96.91,4,1.3,5.8
"Madrid",13,7765,2020-04-24,6663394,116.53,81,1.1,105.5
"Melilla",19,2,2020-04-24,86487,2.31,0,0,0
"Murcia",14,125,2020-04-24,1493898,8.37,1,0.8,1.7
"Navarra",15,417,2020-04-24,654214,63.74,8,2,10.5
"País Vasco",16,1193,2020-04-24,2207776,54.04,26,2.2,28.8
"Total",0,22524,2020-04-24,NA,NA,367,1.7,413.5
