"CCAA","cod_ine","value","date","poblacion","per_cienmil","daily_deaths","daily_deaths_inc","daily_deaths_avg6"
"País Vasco",16,53,2020-03-19,2207776,2.4,13,32.5,6.5
"Total",0,767,2020-03-19,NA,NA,169,28.3,107.8
"Andalucía",1,30,2020-03-20,8414240,0.36,7,30.4,4.7
"Aragón",2,17,2020-03-20,1319291,1.29,2,13.3,1.7
"Asturias",3,2,2020-03-20,1022800,0.2,1,100,0.2
"Baleares",4,2,2020-03-20,1149460,0.17,0,0,0.2
"C. Valenciana",10,33,2020-03-20,5003769,0.66,9,37.5,4.8
"Canarias",5,4,2020-03-20,2153389,0.19,1,33.3,0.5
"Cantabria",6,1,2020-03-20,581078,0.17,0,0,0.2
"Castilla y León",7,43,2020-03-20,2399548,1.79,14,48.3,6.7
"Castilla-La Mancha",8,42,2020-03-20,2032863,2.07,0,0,6
"Cataluña",9,82,2020-03-20,7675217,1.07,27,49.1,12.7
"Ceuta",18,0,2020-03-20,84777,0,0,NA,0
"Extremadura",11,10,2020-03-20,1067710,0.94,2,25,1.3
"Galicia",12,5,2020-03-20,2699499,0.19,1,25,0.8
"La Rioja",17,7,2020-03-20,316798,2.21,2,40,0.7
"Madrid",13,628,2020-03-20,6663394,9.42,130,26.1,90.3
"Melilla",19,0,2020-03-20,86487,0,0,NA,0
"Murcia",14,0,2020-03-20,1493898,0,0,NA,0
"Navarra",15,5,2020-03-20,654214,0.76,1,25,0.8
"País Vasco",16,71,2020-03-20,2207776,3.22,18,34,9.5
"Total",0,1002,2020-03-20,NA,NA,235,30.6,144.3
"Andalucía",1,40,2020-03-21,8414240,0.48,10,33.3,5.7
"Aragón",2,22,2020-03-21,1319291,1.67,5,29.4,2.5
"Asturias",3,5,2020-03-21,1022800,0.49,3,150,0.7
"Baleares",4,4,2020-03-21,1149460,0.35,2,100,0.5
"C. Valenciana",10,50,2020-03-21,5003769,1,17,51.5,7.5
"Canarias",5,7,2020-03-21,2153389,0.33,3,75,1
"Cantabria",6,2,2020-03-21,581078,0.34,1,100,0.3
"Castilla y León",7,55,2020-03-21,2399548,2.29,12,27.9,8.2
"Castilla-La Mancha",8,84,2020-03-21,2032863,4.13,42,100,12.3
"Cataluña",9,122,2020-03-21,7675217,1.59,40,48.8,19
"Ceuta",18,0,2020-03-21,84777,0,0,NA,0
"Extremadura",11,12,2020-03-21,1067710,1.12,2,20,1.7
"Galicia",12,9,2020-03-21,2699499,0.33,4,80,1.2
"La Rioja",17,15,2020-03-21,316798,4.73,8,114.3,2
"Madrid",13,804,2020-03-21,6663394,12.07,176,28,98.5
"Melilla",19,0,2020-03-21,86487,0,0,NA,0
"Murcia",14,1,2020-03-21,1493898,0.07,1,Inf,0.2
"Navarra",15,9,2020-03-21,654214,1.38,4,80,1.5
"País Vasco",16,85,2020-03-21,2207776,3.85,14,19.7,10.3
"Total",0,1326,2020-03-21,NA,NA,324,32.3,173
"Andalucía",1,47,2020-03-22,8414240,0.56,7,17.5,6.7
"Aragón",2,24,2020-03-22,1319291,1.82,2,9.1,2.2
"Asturias",3,8,2020-03-22,1022800,0.78,3,60,1.2
"Baleares",4,4,2020-03-22,1149460,0.35,0,0,0.5
"C. Valenciana",10,69,2020-03-22,5003769,1.38,19,38,10.7
"Canarias",5,9,2020-03-22,2153389,0.42,2,28.6,1.3
"Cantabria",6,5,2020-03-22,581078,0.86,3,150,0.8
"Castilla y León",7,74,2020-03-22,2399548,3.08,19,34.5,10.8
"Castilla-La Mancha",8,112,2020-03-22,2032863,5.51,28,33.3,15.8
"Cataluña",9,191,2020-03-22,7675217,2.49,69,56.6,29.8
"Ceuta",18,0,2020-03-22,84777,0,0,NA,0
"Extremadura",11,14,2020-03-22,1067710,1.31,2,16.7,2
"Galicia",12,12,2020-03-22,2699499,0.44,3,33.3,1.7
"La Rioja",17,18,2020-03-22,316798,5.68,3,20,2.3
"Madrid",13,1021,2020-03-22,6663394,15.32,217,27,134.7
"Melilla",19,0,2020-03-22,86487,0,0,NA,0
