"cod_ine","CCAA","value","date","poblacion","per_cienmil"
10,"C. Valenciana",409,2020-03-15,5003769,8.17
10,"C. Valenciana",8,2020-02-28,5003769,0.16
10,"C. Valenciana",921,2020-03-19,5003769,18.41
10,"C. Valenciana",1363,2020-03-21,5003769,27.24
10,"C. Valenciana",50,2020-03-10,5003769,1
10,"C. Valenciana",1901,2020-03-23,5003769,37.99
10,"C. Valenciana",130,2020-03-14,5003769,2.6
10,"C. Valenciana",409,2020-03-16,5003769,8.17
10,"C. Valenciana",726,2020-03-18,5003769,14.51
10,"C. Valenciana",37,2020-03-09,5003769,0.74
10,"C. Valenciana",2167,2020-03-24,5003769,43.31
10,"C. Valenciana",76,2020-03-12,5003769,1.52
10,"C. Valenciana",1604,2020-03-22,5003769,32.06
11,"Extremadura",6,2020-03-02,1067710,0.56
11,"Extremadura",0,2020-02-27,1067710,0
11,"Extremadura",6,2020-03-05,1067710,0.56
11,"Extremadura",6,2020-03-06,1067710,0.56
11,"Extremadura",0,2020-02-29,1067710,0
11,"Extremadura",95,2020-03-15,1067710,8.9
11,"Extremadura",6,2020-03-04,1067710,0.56
11,"Extremadura",4,2020-03-01,1067710,0.37
11,"Extremadura",6,2020-03-03,1067710,0.56
11,"Extremadura",194,2020-03-18,1067710,18.17
11,"Extremadura",0,2020-02-28,1067710,0
11,"Extremadura",7,2020-03-09,1067710,0.66
11,"Extremadura",9,2020-03-11,1067710,0.84
11,"Extremadura",39,2020-03-13,1067710,3.65
11,"Extremadura",8,2020-03-10,1067710,0.75
11,"Extremadura",153,2020-03-17,1067710,14.33
11,"Extremadura",241,2020-03-19,1067710,22.57
11,"Extremadura",6,2020-03-08,1067710,0.56
11,"Extremadura",354,2020-03-21,1067710,33.16
11,"Extremadura",19,2020-03-12,1067710,1.78
11,"Extremadura",66,2020-03-14,1067710,6.18
11,"Extremadura",111,2020-03-16,1067710,10.4
11,"Extremadura",6,2020-03-07,1067710,0.56
11,"Extremadura",384,2020-03-22,1067710,35.96
11,"Extremadura",636,2020-03-24,1067710,59.57
11,"Extremadura",493,2020-03-23,1067710,46.17
11,"Extremadura",297,2020-03-20,1067710,27.82
12,"Galicia",0,2020-02-29,2699499,0
12,"Galicia",0,2020-03-03,2699499,0
12,"Galicia",1,2020-03-04,2699499,0.04
12,"Galicia",0,2020-02-27,2699499,0
12,"Galicia",85,2020-03-13,2699499,3.15
12,"Galicia",0,2020-03-02,2699499,0
12,"Galicia",0,2020-02-28,2699499,0
12,"Galicia",0,2020-03-01,2699499,0
12,"Galicia",245,2020-03-16,2699499,9.08
12,"Galicia",22,2020-03-10,2699499,0.81
12,"Galicia",3,2020-03-07,2699499,0.11
12,"Galicia",6,2020-03-09,2699499,0.22
12,"Galicia",39,2020-03-11,2699499,1.44
12,"Galicia",5,2020-03-08,2699499,0.19
12,"Galicia",195,2020-03-15,2699499,7.22
12,"Galicia",292,2020-03-17,2699499,10.82
12,"Galicia",3,2020-03-06,2699499,0.11
12,"Galicia",1415,2020-03-24,2699499,52.42
12,"Galicia",1208,2020-03-23,2699499,44.75
12,"Galicia",35,2020-03-12,2699499,1.3
12,"Galicia",115,2020-03-14,2699499,4.26
12,"Galicia",453,2020-03-19,2699499,16.78
12,"Galicia",1,2020-03-05,2699499,0.04
12,"Galicia",578,2020-03-20,2699499,21.41
12,"Galicia",915,2020-03-22,2699499,33.9
12,"Galicia",739,2020-03-21,2699499,27.38
12,"Galicia",341,2020-03-18,2699499,12.63
13,"Madrid",4,2020-02-27,6663394,0.06
13,"Madrid",29,2020-03-02,6663394,0.44
13,"Madrid",10,2020-03-01,6663394,0.15
13,"Madrid",1024,2020-03-11,6663394,15.37
13,"Madrid",8,2020-02-29,6663394,0.12
13,"Madrid",782,2020-03-10,6663394,11.74
13,"Madrid",5,2020-02-28,6663394,0.08
13,"Madrid",2940,2020-03-14,6663394,44.12
13,"Madrid",202,2020-03-08,6663394,3.03
13,"Madrid",90,2020-03-05,6663394,1.35
13,"Madrid",174,2020-03-07,6663394,2.61
13,"Madrid",469,2020-03-09,6663394,7.04
13,"Madrid",12352,2020-03-24,6663394,185.37
13,"Madrid",1990,2020-03-13,6663394,29.86
13,"Madrid",3544,2020-03-15,6663394,53.19
13,"Madrid",70,2020-03-04,6663394,1.05
