"date","province","ccaa","new_cases","PCR","TestAc","activos","hospitalized","intensive_care","deceased","cases_accumulated","cases_accumulated_PCR","recovered","source_name","source","comments"
2020-08-08,"Santiago","Galicia",NA,NA,NA,NA,1,0,109,1956,NA,NA,"Área sanitaria Santiago via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-08-09,"Santiago","Galicia",NA,NA,NA,NA,1,0,109,1958,NA,NA,"Área sanitaria Santiago via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-08-10,"Santiago","Galicia",NA,NA,NA,NA,1,0,109,1961,NA,NA,"Área sanitaria Santiago via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-08-11,"Santiago","Galicia",NA,NA,NA,NA,1,0,109,1965,NA,NA,"Área sanitaria Santiago via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-08-12,"Santiago","Galicia",NA,NA,NA,NA,1,0,109,1977,NA,NA,"Área sanitaria Santiago via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-08-13,"Santiago","Galicia",NA,NA,NA,NA,1,0,109,1982,NA,NA,"Área sanitaria Santiago via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-08-14,"Santiago","Galicia",NA,NA,NA,NA,2,0,109,1985,NA,NA,"Área sanitaria Santiago via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-08-15,"Santiago","Galicia",NA,NA,NA,NA,2,0,109,1992,NA,NA,"Área sanitaria Santiago via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-08-16,"Santiago","Galicia",NA,NA,NA,NA,3,0,109,2003,NA,NA,"Área sanitaria Santiago via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-08-17,"Santiago","Galicia",NA,NA,NA,NA,3,0,109,2012,NA,NA,"Área sanitaria Santiago via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-08-18,"Santiago","Galicia",NA,NA,NA,NA,3,0,109,2017,NA,NA,"Área sanitaria Santiago via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-08-19,"Santiago","Galicia",NA,NA,NA,NA,3,0,109,2046,NA,NA,"Área sanitaria Santiago via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-08-20,"Santiago","Galicia",NA,NA,NA,NA,2,0,109,2075,NA,NA,"Área sanitaria Santiago via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-08-21,"Santiago","Galicia",NA,NA,NA,NA,2,0,109,2094,NA,NA,"Área sanitaria Santiago via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-08-22,"Santiago","Galicia",NA,NA,NA,NA,3,0,109,2140,NA,NA,"Área sanitaria Santiago via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-08-23,"Santiago","Galicia",NA,NA,NA,NA,3,0,109,2185,NA,NA,"Área sanitaria Santiago via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-08-24,"Santiago","Galicia",NA,NA,NA,NA,4,0,109,2250,NA,NA,"Área sanitaria Santiago via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-08-25,"Santiago","Galicia",NA,NA,NA,NA,6,0,109,2309,NA,NA,"Área sanitaria Santiago via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-08-26,"Santiago","Galicia",NA,NA,NA,NA,6,0,109,2365,NA,NA,"Área sanitaria Santiago via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-08-27,"Santiago","Galicia",NA,NA,NA,NA,6,0,109,2392,NA,NA,"Área sanitaria Santiago via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-08-28,"Santiago","Galicia",NA,NA,NA,NA,4,0,109,2445,NA,NA,"Área sanitaria Santiago via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-08-29,"Santiago","Galicia",NA,NA,NA,NA,4,0,109,2476,NA,NA,"Área sanitaria Santiago via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-08-30,"Santiago","Galicia",NA,NA,NA,NA,7,0,109,2552,NA,NA,"Área sanitaria Santiago via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-08-31,"Santiago","Galicia",NA,NA,NA,NA,7,1,109,2607,NA,NA,"Área sanitaria Santiago via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-09-01,"Santiago","Galicia",NA,NA,NA,NA,9,1,109,2643,NA,NA,"Área sanitaria Santiago via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-09-02,"Santiago","Galicia",NA,NA,NA,NA,12,1,109,2686,NA,NA,"Área sanitaria Santiago via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-09-03,"Santiago","Galicia",NA,NA,NA,NA,11,1,110,2732,NA,NA,"Área sanitaria Santiago via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
