"date","province","ccaa","new_cases","PCR","TestAc","activos","hospitalized","intensive_care","deceased","cases_accumulated","cases_accumulated_PCR","recovered","source_name","source","comments","","casos_acumul_old","recovered_old","deceased_old"
"2020-04-02","Coruña, A","Galicia","","","","1494","487","80","82","","","158","galiciancovid19.info; galiciapress.es","https://galiciancovid19.info/; ; https://www.galiciapress.es/texto-diario/mostrar/1857187/grafica-coronavirus-cada-area-galicia-revela-donde-esta-acelerando-epidemia; https://www.galiciapress.es/texto-diario/mostrar/1857187/grafica-coronavirus-cada-area-galicia-revela-donde-esta-acelerando-epidemia","","","","",""
"2020-04-03","Coruña, A","Galicia","","","","1573","474","92","95","","","123","galiciancovid19.info; galiciapress.es","https://galiciancovid19.info/; https://www.galiciapress.es/texto-diario/mostrar/1885314/aumentan-176-pacientes-uci-hospitales-galicia-11-jueves; https://www.galiciapress.es/texto-diario/mostrar/1885314/aumentan-176-pacientes-uci-hospitales-galicia-11-jueves; https://www.galiciapress.es/texto-diario/mostrar/1885314/aumentan-176-pacientes-uci-hospitales-galicia-11-jueves","","","","",""
"2020-04-04","Coruña, A","Galicia","","","","1706","262","92","103","","","145","galiciancovid19.info; laopinioncoruna.es; lavozdegalicia.es; diariodeferrol.com","https://galiciancovid19.info/; https://www.laopinioncoruna.es/sociedad/2020/04/04/coronavirus-coruna--area-sanitaria/1491785.html; https://www.lavozdegalicia.es/noticia/santiago/2020/04/04/area-sanitaria-alcanza-694-contagios-coronavirus/00031586013950320563707.htm; https://www.diariodeferrol.com/articulo/ferrol/ferrol-cuenta-decima-victima-mantiene-numero-hospitalizados/20200404002929278610.html","","","","",""
"2020-04-05","Coruña, A","Galicia","","","","1788","534","86","111","","","250","galiciancovid19.info; laopinioncoruna.es; diariodearousa.com; lavozdegalicia.es","https://galiciancovid19.info/; https://www.laopinioncoruna.es/sociedad/2020/04/05/coronavirus-coruna--area-sanitaria/1492015.html; https://www.diariodearousa.com/articulo/barbanza/area-santiago-barbanza-suma-19-positivos-mas-ingresados-uci-son-24/20200405010610260602.html; https://www.lavozdegalicia.es/noticia/sociedad/2020/04/05/positivos-area-ferrol-elevan-306-11-pacientes-uci-36-planta-hospitalaria/00031586086902425643842.htm","","","","",""
"2020-04-06","Coruña, A","Galicia","","","","1934","515","85","117","","","242","galiciancovid19.info; galiciapress.es; lavozdegalicia.es; galiciapress.es","https://galiciancovid19.info/; https://www.galiciapress.es/texto-diario/mostrar/1887585/sergas-recibe-nuevo-envio-millon-mascaras-proteccion; https://www.lavozdegalicia.es/noticia/sociedad/2020/04/06/area-sanitaria-santiago-supera-200-pacientes-hospitalizados-coronavirus/00031586177236171730842.htm; https://www.galiciapress.es/texto-diario/mostrar/1887585/sergas-recibe-nuevo-envio-millon-mascaras-proteccion","","","","",""
"2020-04-07","Coruña, A","Galicia","","","","2006","493","76","123","","","272","galiciancovid19.info; galiciapress.es","https://galiciancovid19.info/; https://www.galiciapress.es/texto-diario/mostrar/1888800/descienden-nuevo-pacientes-uci-hospitales-galicia-situan-162; https://www.galiciapress.es/texto-diario/mostrar/1888800/descienden-nuevo-pacientes-uci-hospitales-galicia-situan-162; https://www.galiciapress.es/texto-diario/mostrar/1888800/descienden-nuevo-pacientes-uci-hospitales-galicia-situan-162","","","","",""
"2020-04-08","Coruña, A","Galicia","","","","2180","460","74","134","","","186","galiciancovid19.info; laopinioncoruna.es; diariodearousa.com; galiciaartabradigital.com","https://galiciancovid19.info/; https://www.laopinioncoruna.es/sociedad/2020/04/09/coruna-registra-nuevo-descenso-ingresos/1492988.html; https://www.diariodearousa.com/articulo/o-salnes/fallecen-arousanos-77-80-anos-edad-coronavirus-clinico-santiago/20200407225514260887.html; https://www.galiciaartabradigital.com/archivos/210417","","","","",""
"2020-04-09","Coruña, A","Galicia","","","","2249","422","62","140","","","210","galiciancovid19.info; laopinioncoruna.es; lavozdegalicia.es; cope.es","https://galiciancovid19.info/; https://www.laopinioncoruna.es/sociedad/2020/04/09/coronavirus-coruna--ingresos-covid/1493090.html; https://www.lavozdegalicia.es/noticia/sociedad/2020/04/10/veintiocho-nuevos-positivos-elevan-939-casos-coronavirus-area-sanitaria-190-ingresados/0003_202004S10C3992.htm; https://www.cope.es/emisoras/galicia/a-coruna-provincia/ferrol/noticias/desciende-siete-los-casos-activos-coronavirus-area-sanitaria-ferrol-20200409_703362","","","","",""
"2020-04-10","Coruña, A","Galicia","","","","2313","699","55","150","","","286","galiciancovid19.info; lavozdegalicia.es; galiciaartabradigital.com","https://galiciancovid19.info/; https://www.lavozdegalicia.es/noticia/carballo/2020/04/10/mantienen-cinco-ingresos-covid-19-hospital-virxe-da-xunqueira/00031586541404061544675.htm; https://www.lavozdegalicia.es/noticia/sociedad/2020/04/09/cinco-enfermos-coronavirus-continuan-ingresados-hospital-barbanza/00031586438527900629210.htm; https://www.galiciaartabradigital.com/archivos/210492","","","","",""
"2020-04-11","Coruña, A","Galicia","","","","2367","413","66","159","","","192","galiciancovid19.info; laopinioncoruna.es; lavozdegalicia.es; galiciaartabradigital.com","https://galiciancovid19.info/; https://www.laopinioncoruna.es/sociedad/2020/04/12/ingresos-continuan-baja-coruna-suma/1493621.html; https://www.lavozdegalicia.es/noticia/sociedad/2020/04/10/hospital-barbanza-recibe-paciente-coronavirus-seis-ingresados/00031586526124457385267.htm; https://www.galiciaartabradigital.com/archivos/210519","","","","",""
